model,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_f1_mean,cv_precision_mean,cv_recall_mean,cv_accuracy_mean
LogReg,0.6349802409981367,0.024755697956630917,0.3007498220570349,0.3558022832886088,0.27229949531530945,0.5143704850361196,0.6325473948777914
GB,0.6239284055032892,0.013055033466153502,0.2784944079950417,0.04530540441722875,0.2853146853146853,0.02484520123839009,0.7955434366242617
RF,0.5985511547248494,0.02543703859275384,0.26464326975356184,0.09675806509820024,0.32557338086749854,0.05756793945648435,0.7885482819566809
XGB,0.5819475218027013,0.030754111532434153,0.2657053640642336,0.2931351419926016,0.2564970019614364,0.34414344685242515,0.6747888147416383
